DN	Draw Date	L1	L2	L3	L4	L5	L6
264	29-Aug-09	20	24	28	36	39	42
265	1-Sep-09	04	07	08	25	36	38
266	5-Sep-09	01	12	23	26	27	39
267	8-Sep-09	03	07	10	16	18	26
268	12-Sep-09	02	08	12	13	33	36
269	15-Sep-09	03	09	18	22	26	29
270	19-Sep-09	01	05	14	19	29	39
271	22-Sep-09	01	02	14	15	17	22
272	26-Sep-09	05	19	20	32	40	42
273	29-Sep-09	02	03	04	11	19	24
274	3-Oct-09	03	09	11	16	18	25
275	6-Oct-09	03	17	20	27	32	35
276	10-Oct-09	04	09	11	18	22	30
277	13-Oct-09	13	14	25	37	38	39
278	17-Oct-09	03	04	08	21	31	37
279	20-Oct-09	02	15	19	21	24	38
280	24-Oct-09	03	05	07	11	15	36
281	27-Oct-09	05	13	15	18	30	39
282	31-Oct-09	04	11	22	23	26	30
283	3-Nov-09	17	19	20	30	37	41
284	7-Nov-09	06	21	27	29	31	36
285	10-Nov-09	01	02	08	12	13	41
286	14-Nov-09	01	21	31	37	39	40
287	17-Nov-09	07	13	19	20	29	37
288	21-Nov-09	14	16	18	24	31	32
289	24-Nov-09	01	08	11	18	35	36
290	26-Nov-09	01	06	12	21	35	41
291	28-Nov-09	05	15	19	27	40	42
292	1-Dec-09	04	11	17	20	37	40
293	3-Dec-09	02	10	18	25	26	34
294	5-Dec-09	04	15	28	36	40	42
295	8-Dec-09	03	16	19	32	33	40
296	10-Dec-09	02	04	12	22	34	37
297	12-Dec-09	01	08	12	30	36	41
298	15-Dec-09	01	02	03	07	23	40
299	17-Dec-09	02	15	16	26	38	39
300	19-Dec-09	03	14	16	21	22	27
301	22-Dec-09	09	16	18	23	26	34
302	24-Dec-09	22	26	31	32	37	39
303	26-Dec-09	04	15	28	34	37	39
304	29-Dec-09	13	14	18	24	31	39
305	31-Dec-09	05	07	11	19	34	37
306	2-Jan-10	10	13	22	24	29	33
307	5-Jan-10	01	02	28	31	32	42
308	7-Jan-10	16	18	27	34	36	40
309	9-Jan-10	01	04	14	27	35	38
310	12-Jan-10	07	08	10	31	33	42
311	14-Jan-10	15	23	27	30	33	37
312	16-Jan-10	03	04	08	20	24	34
313	19-Jan-10	08	12	14	26	33	40
314	21-Jan-10	20	21	23	33	36	42
315	23-Jan-10	01	11	12	22	23	32
316	26-Jan-10	04	18	28	34	35	41
317	28-Jan-10	03	05	20	24	30	41
318	30-Jan-10	07	10	14	24	33	34
319	2-Feb-10	02	05	09	32	34	42
320	4-Feb-10	02	09	12	18	20	24
321	6-Feb-10	03	07	24	27	29	41
322	9-Feb-10	07	16	25	27	33	38
323	11-Feb-10	03	08	17	20	27	39
324	13-Feb-10	06	08	19	21	28	38
325	16-Feb-10	02	12	19	22	29	35
326	18-Feb-10	06	07	10	14	19	27
327	20-Feb-10	03	09	10	19	35	37
328	23-Feb-10	01	09	10	15	18	40
329	25-Feb-10	02	04	19	22	30	31
330	27-Feb-10	04	08	20	21	28	31
331	2-Mar-10	01	06	11	20	40	41
332	4-Mar-10	14	21	30	34	37	41
333	6-Mar-10	05	10	12	17	33	35
334	9-Mar-10	05	14	17	21	22	41
335	11-Mar-10	14	20	24	31	35	38
336	13-Mar-10	06	09	10	18	21	25
337	16-Mar-10	01	02	04	06	36	37
338	18-Mar-10	03	09	16	19	37	38
339	20-Mar-10	07	10	23	34	38	40
340	23-Mar-10	03	06	07	24	26	41
341	25-Mar-10	03	11	17	25	38	39
342	27-Mar-10	01	08	14	24	28	34
343	30-Mar-10	03	05	06	13	16	42
344	6-Apr-10	02	07	14	24	32	33
345	8-Apr-10	02	11	14	32	34	42
346	10-Apr-10	13	19	20	25	36	37
347	13-Apr-10	02	09	35	36	37	40
348	15-Apr-10	05	15	23	27	29	33
349	17-Apr-10	04	08	22	25	34	41
350	20-Apr-10	14	20	27	28	32	35
351	22-Apr-10	04	13	15	20	34	42
352	24-Apr-10	03	06	09	18	27	34
353	27-Apr-10	01	04	13	32	33	34
354	29-Apr-10	01	08	24	25	34	36
355	1-May-10	09	12	14	23	26	31
356	4-May-10	08	25	29	32	35	39
357	6-May-10	02	03	05	13	27	32
358	8-May-10	06	16	25	32	36	41
359	11-May-10	01	06	08	10	31	32
360	13-May-10	06	26	30	31	33	37
361	15-May-10	13	28	34	39	40	42
362	18-May-10	07	15	16	23	25	26
363	20-May-10	07	23	24	37	39	42
364	22-May-10	07	12	20	21	30	40
365	25-May-10	15	20	21	29	31	37
